Model,Accuracy,Precision,Recall,F1-score
DISTILBERT,0.9482107436893732,0.9677938808373591,0.9027940047401275,0.9341646229836621
ROBERTA,0.938483275819906,0.9373602559251488,0.90963714657676,0.9232906417293488
XLM_ROBERTA,0.9491209955710133,0.9653458315580173,0.9075675134359248,0.9355654582680959
